"","Pillar 1: Health (0–100 best)","Pillar 2: Education Access (0–100 best)","Pillar 3: Education Quality and Equity (0–100 best)","Pillar 4: Lifelong Learning (0–100 best)","Pillar 5: Technology Access (0–100 best)","Pillar 6: Work Opportunities (0–100 best)","Pillar 7: Fair Wage Distribution (0–100 best)","Pillar 8: Working Conditions (0–100 best)","Pillar 9: Social Resilience (0–100 best)","Pillar 10: Inclusive Institutions (0–100 best)"
"Norway","90.946388690626875","86.548103230244948","85.492199293306157","73.579508066666662","89.783403830833322","84.458397885986457","76.748145118711648","79.477571223333328","81.537841112500004","87.428847103745113"
"Pakistan","48.26377839176314","27.421996983333333","15.726698189726328","49.140075236666668","36.276679369033332","56.70095898298721","26.022388470877207","49.802547437499996","23.979646671428721","33.537360944954571"
"Panama","60.807315942754315","48.55162279711913","44.781597195389587","44.768249987499999","64.324288740833325","73.997525428628464","24.932735686995557","49.720807853333341","45.324177240953617","56.691602159581961"
"Paraguay","63.172963467279615","33.476820608072934","38.567966341145834","38.996658680000003","58.525924864413724","71.186350282114645","37.751253398046053","41.225713369999994","31.948394175000001","52.697570180904286"
"Peru","67.950087493951273","60.830070211744804","37.786180313036425","46.93443671","54.609972103099892","69.541899093174166","37.8668723450565","43.554617433333341","29.228510618666668","50.399192493898596"
"Philippines","56.274720037640556","54.757230694787587","38.300333243256055","63.882068263333352","62.554903927104924","67.522929068129471","35.949197433933385","52.825874893333342","35.221161687706861","49.558906644222084"
"Poland","82.460038532280478","66.205115995058591","81.756590943372103","49.365304686666676","78.631203758888887","75.150940382573552","60.009794190604666","57.683397540000001","69.184396212500005","70.17777522855198"
"Portugal","86.590943213083051","69.014786672960611","76.852581427349222","59.654132525000001","79.211063842777776","73.769144666830627","50.170112650854193","70.285586276666677","73.738708558333343","80.54096776169817"
"Romania","73.185401225374505","54.215673624824205","64.010730084509575","51.522996286666668","73.584824211666657","75.076068970477493","68.470756703872866","60.53681971666667","58.404330779166671","52.212966793944275"
"Russian Federation","75.036688509821701","70.372067865058597","75.046527364187298","46.090814256666668","73.635741076944441","74.020245561902556","63.023264561416006","62.264153063333346","64.334219664191451","42.953699123460424"
"Saudi Arabia","73.445788120372555","53.445425892353533","64.159983198420349","67.505242429166671","75.718173858111115","66.229198509004192","29.627539724393277","45.862343287500003","43.935052300000002","50.738885797508836"
"Senegal","45.657479740432294","18.937338596666667","28.196488798479344","38.418581619999998","43.463905123711619","47.886988705564306","9.2826674311865016","39.227287860000004","28.193583308333334","60.553050023085717"
"Serbia","78.00212002259876","63.485398288736995","74.154536801083154","48.28332765333333","68.136699557222215","56.447193596827134","61.366116182153363","62.159632773333328","66.511150724999993","59.199601696104139"
"Singapore","91.46873032557076","83.735906773761997","85.796203465902906","78.190408145833345","87.395947667222231","81.764751057900554","45.066778604996045","66.738136116666666","38.613349060942625","87.450244145021202"
